RestoreOp Restore
ChooseFastestDatasetOp ExperimentalChooseFastestDataset
MapAndBatchDatasetOp ExperimentalMapAndBatchDataset
RebatchDatasetOp ExperimentalRebatchDataset
RebatchDatasetV2Op RebatchDatasetV2
IgnoreErrorsDatasetOp ExperimentalIgnoreErrorsDataset
ChooseFastestBranchDatasetOp ChooseFastestBranchDataset
MaxIntraOpParallelismDatasetOp ExperimentalMaxIntraOpParallelismDataset
PrivateThreadPoolDatasetOp ExperimentalPrivateThreadPoolDataset
ThreadPoolHandleOp ExperimentalThreadPoolHandle
ThreadPoolDatasetOp ExperimentalThreadPoolDataset
SnapshotDatasetV2Op SnapshotDatasetV2
SnapshotDatasetOp SnapshotDataset
DirectedInterleaveDatasetOp ExperimentalDirectedInterleaveDataset
SleepDatasetOp ExperimentalSleepDataset
DenseToSparseBatchDatasetOp ExperimentalDenseToSparseBatchDataset
CSVDatasetOp CSVDatasetV2
SamplingDatasetOp SamplingDataset
AssertCardinalityDatasetOp AssertCardinalityDataset
GroupByReducerDatasetOp ExperimentalGroupByReducerDataset
GroupByWindowDatasetOp ExperimentalGroupByWindowDataset
SlidingWindowDatasetOp ExperimentalSlidingWindowDataset
InitializeTableFromDatasetOp InitializeTableFromDataset
ScanDatasetOp ExperimentalScanDataset
IteratorGetDeviceOp ExperimentalIteratorGetDevice
AutoShardDatasetOp ExperimentalAutoShardDataset
ParallelInterleaveDatasetOp LegacyParallelInterleaveDatasetV2
NonSerializableDatasetOp ExperimentalNonSerializableDataset
ComputeBatchSizeOp ComputeBatchSize
UniqueDatasetOp ExperimentalUniqueDataset
LMDBDatasetOp ExperimentalLMDBDataset
StatsAggregatorHandleOp ExperimentalStatsAggregatorHandle
StatsAggregatorHandleOpV2 StatsAggregatorHandleV2
StatsAggregatorSummaryOp ExperimentalStatsAggregatorSummary
StatsAggregatorSetSummaryWriterOp StatsAggregatorSetSummaryWriter
DataServiceDatasetOp DataServiceDatasetV2
SqlDatasetOp ExperimentalSqlDataset
CompressElementOp CompressElement
UncompressElementOp UncompressElement
SaveDatasetOp SaveDataset
LoadDatasetOp LoadDataset
ToTFRecordOp ExperimentalDatasetToTFRecord
RandomDatasetOp ExperimentalRandomDataset
AssertNextDatasetOp ExperimentalAssertNextDataset
MatchingFilesDatasetOp ExperimentalMatchingFilesDataset
BytesProducedStatsDatasetOp ExperimentalBytesProducedStatsDataset
LatencyStatsDatasetOp ExperimentalLatencyStatsDataset
RegisterDatasetOp RegisterDataset
SetStatsAggregatorDatasetOp ExperimentalSetStatsAggregatorDataset
UnbatchDatasetOp ExperimentalUnbatchDataset
TakeWhileDatasetOp ExperimentalTakeWhileDataset
ParseExampleDatasetOp ExperimentalParseExampleDataset
LuOpGpu Lu
MatrixDiagOp BatchMatrixDiag
MatrixDiagPartOp BatchMatrixDiagPart
EinsumOp Einsum
BandedTriangularSolveOpCpu BandedTriangularSolve
(SelfAdjointEigV2OpGpu SelfAdjointEigV2
QrOp Qr
LuOp Lu
MatrixBandPartOp BatchMatrixBandPart
MatrixSetDiagOp BatchMatrixSetDiag
CSRSparseMatrixToDenseGPUOp CSRSparseMatrixToDense
CSRSparseMatrixToDenseCPUOp CSRSparseMatrixToDense
CSRZerosOp SparseMatrixZeros
CSRAddOp SparseMatrixAdd
CSRSoftmaxOp SparseMatrixSoftmax
CSRSoftmaxGradOp SparseMatrixSoftmaxGrad
CSRMulOp SparseMatrixMul
CSRNNZOp SparseMatrixNNZ
SparseTensorToCSRSparseMatrixGPUOp SparseTensorToCSRSparseMatrix
SparseTensorToCSRSparseMatrixCPUOp SparseTensorToCSRSparseMatrix
CSROrderingAMDCPUOp SparseMatrixOrderingAMD
CSRSparseMatMulCPUOp SparseMatrixSparseMatMul
CSRSparseMatMulGPUOp SparseMatrixSparseMatMul
CSRTransposeOp SparseMatrixTranspose
CSRSparseCholeskyCPUOp SparseMatrixSparseCholesky
CSRSparseMatrixToSparseTensorGPUOp CSRSparseMatrixToSparseTensor
CSRSparseMatrixToSparseTensorCPUOp CSRSparseMatrixToSparseTensor
CSRSparseMatrixComponentsOp CSRSparseMatrixComponents
CSRMatMulCPUOp SparseMatrixMatMul
CSRMatMulGPUOp SparseMatrixMatMul
DenseToCSRSparseMatrixCPUOp DenseToCSRSparseMatrix
DenseToCSRSparseMatrixGPUOp DenseToCSRSparseMatrix
RiscCastOp RiscCast
RiscScatterOp RiscScatter
RiscAbsOp RiscAbs
RiscConvOp RiscConv
RiscReshapeOp RiscReshape
RiscDivOp RiscDiv
RiscAddOp RiscAdd
RiscLogicalNotOp RiscLogicalNot
RiscLogOp RiscLog
RiscMaxOp RiscMax
RiscBinaryComparisonOp RiscBinaryComparison
RiscDotOp RiscDot
RiscCeilOp RiscCeil
RiscShapeOp RiscShape
RiscFloorOp RiscFloor
RiscSortOp RiscSort
RiscReduceOp RiscReduce
RiscImagOp RiscImag
RiscExpOp RiscExp
RiscGatherOp RiscGather
RiscTransposeOp RiscTranspose
RiscPadOp RiscPad
RiscCosOp RiscCos
RiscCholeskyOp RiscCholesky
RiscBinaryArithmeticOp RiscBinaryArithmetic
RiscPowOp RiscPow
RiscConditionOp RiscCondition
RiscSignOp RiscSign
RiscLogicalOrOp RiscLogicalOr
RiscBroadcastOp RiscBroadcast
RiscFftOp RiscFft
RiscMinOp RiscMin
RiscReverseOp RiscReverse
RiscRandomUniformOp RiscRandomUniform
RiscSliceOp RiscSlice
RiscUnaryOp RiscUnary
RiscRemOp RiscRem
RiscMulOp RiscMul
RiscConcatOp RiscConcat
RiscIsFiniteOp RiscIsFinite
RiscNegOp RiscNeg
RiscPoolOp RiscPool
RiscLogicalAndOp RiscLogicalAnd
RiscBitcastOp RiscBitcast
RiscWhileOp RiscWhile
RiscSqueezeOp RiscSqueeze
RiscRealOp RiscReal
RiscTriangularSolveOp RiscTriangularSolve
BoostedTreesCreateQuantileStreamResourceOp BoostedTreesCreateQuantileStreamResource
BoostedTreesMakeQuantileSummariesOp BoostedTreesMakeQuantileSummaries
BoostedTreesFlushQuantileSummariesOp BoostedTreesFlushQuantileSummaries
BoostedTreesQuantileStreamResourceAddSummariesOp BoostedTreesQuantileStreamResourceAddSummaries
BoostedTreesQuantileStreamResourceDeserializeOp BoostedTreesQuantileStreamResourceDeserialize
BoostedTreesQuantileStreamResourceFlushOp BoostedTreesQuantileStreamResourceFlush
BoostedTreesQuantileStreamResourceGetBucketBoundariesOp BoostedTreesQuantileStreamResourceGetBucketBoundaries
BoostedTreesBucketizeOp BoostedTreesBucketize
BoostedTreesUpdateEnsembleOp BoostedTreesUpdateEnsemble
BoostedTreesUpdateEnsembleV2Op BoostedTreesUpdateEnsembleV2
BoostedTreesCenterBiasOp BoostedTreesCenterBias
BoostedTreesTrainingPredictOp BoostedTreesTrainingPredict
BoostedTreesPredictOp BoostedTreesPredict
BoostedTreesExampleDebugOutputsOp BoostedTreesExampleDebugOutputs
BoostedTreesCalculateBestGainsPerFeatureOp BoostedTreesCalculateBestGainsPerFeature
BoostedTreesCalculateBestFeatureSplitOp BoostedTreesCalculateBestFeatureSplit
BoostedTreesCalculateBestFeatureSplitV2 BoostedTreesCalculateBestFeatureSplitV2
BoostedTreesSparseCalculateBestFeatureSplitOp BoostedTreesSparseCalculateBestFeatureSplit
BoostedTreesMakeStatsSummaryOp BoostedTreesMakeStatsSummary
BoostedTreesAggregateStatsOp BoostedTreesAggregateStats
BoostedTreesSparseAggregateStatsOp BoostedTreesSparseAggregateStats
BoostedTreesCreateEnsembleOp BoostedTreesCreateEnsemble
BoostedTreesGetEnsembleStatesOp BoostedTreesGetEnsembleStates
BoostedTreesSerializeEnsembleOp BoostedTreesSerializeEnsemble
BoostedTreesDeserializeEnsembleOp BoostedTreesDeserializeEnsemble
ExtractImagePatchesOp ExtractImagePatches
ResizeBilinearOp ResizeBilinear
ResizeBilinearOpGrad ResizeBilinearGrad
EncodeJpegOp EncodeJpeg
EncodeJpegVariableQualityOp EncodeJpegVariableQuality
AdjustContrastOp AdjustContrast
AdjustContrastOpv2 AdjustContrastv2
EncodePngOp EncodePng
ImageProjectiveTransformV2 ImageProjectiveTransformV2
ImageProjectiveTransformV3 ImageProjectiveTransformV3
StatefulSampleDistortedBoundingBoxOp SampleDistortedBoundingBoxV2
StatelessSampleDistortedBoundingBoxOp StatelessSampleDistortedBoundingBox
MirrorPadOp MirrorPad
MirrorPadGradOp MirrorPadGrad
AdjustSaturationOp AdjustSaturation
DrawBoundingBoxesOp DrawBoundingBoxesV2
tensorflow::GenerateBoundingBoxProposals GenerateBoundingBoxProposals
ResizeBicubicOp ResizeBicubic
ResizeBicubicOpGrad ResizeBicubicGrad
AdjustHueOp AdjustHue
ExtractGlimpseOp ExtractGlimpseV2
RGBToHSVOp RGBToHSV
HSVToRGBOp HSVToRGB
RandomCropOp RandomCrop
CropAndResizeOp CropAndResize
CropAndResizeGradBoxesOp CropAndResizeGradBoxes
CropAndResizeGradImageOp CropAndResizeGradImage
NonMaxSuppressionOp NonMaxSuppression
NonMaxSuppressionV2Op NonMaxSuppressionV2
NonMaxSuppressionV3Op NonMaxSuppressionV3
NonMaxSuppressionV4Op NonMaxSuppressionV4
NonMaxSuppressionV5Op NonMaxSuppressionV5
NonMaxSuppressionWithOverlapsOp NonMaxSuppressionWithOverlaps
CombinedNonMaxSuppressionOp CombinedNonMaxSuppression
ExtractJpegShapeOp ExtractJpegShape
DecodeImageV2Op DecodeBmp
ResizeAreaOp ResizeArea
ScaleAndTranslateOp ScaleAndTranslate
ScaleAndTranslateGradOp ScaleAndTranslateGrad
ResizeNearestNeighborOp ResizeNearestNeighbor
ResizeNearestNeighborOpGrad ResizeNearestNeighborGrad
ExtractVolumePatchesOp ExtractVolumePatches
NonMaxSuppressionV2GPUOp NonMaxSuppressionV2
NonMaxSuppressionV3GPUOp NonMaxSuppressionV3
NonMaxSuppressionV4GPUOp NonMaxSuppressionV4
LSTMBlockCellOp LSTMBlockCell
LSTMBlockCellGradOp LSTMBlockCellGrad
BlockLSTMOp BlockLSTMV2
BlockLSTMGradOp BlockLSTMGradV2
GRUCellBlockOp GRUBlockCell
GRUBlockCellGradOp GRUBlockCellGrad
MLIR_OP(Cast,GPU,input_type,output_type Cast
MklFusedMatMulOp _MklNativeFusedMatMul
MklTransposeCpuOp _MklTranspose
MklConjugateTransposeCpuOp _MklConjugateTranspose
MklRequantizePerChannelOp RequantizePerChannel
MklReluOp _MklRelu
MklReluGradOp _MklReluGrad
MklEluOp _MklElu
MklEluGradOp _MklEluGrad
MklTanhOp _MklTanh
MklTanhGradOp _MklTanhGrad
MklRelu6Op _MklRelu6
MklRelu6GradOp _MklRelu6Grad
MklLeakyReluOp _MklLeakyRelu
MklLeakyReluGradOp _MklLeakyReluGrad
MklAddNOp _MklAddN
MklMaxPoolingOp _MklQuantizedMaxPool
MklMaxPoolingGradOp _MklNativeMaxPoolGrad
MklReshapeOp _MklReshape
MklDequantizeOp _MklDequantize
MklConvOp _MklNativeConv3D
MklDummyOp __MklDummyConv2DBackpropFilterWithBias
MklFusedDepthwiseConvOp _MklNativeFusedDepthwiseConv2dNative
MklFusedConvOp _MklNativePadWithFusedConv2D
MklConvCustomBackpropInputOp _MklNativeDepthwiseConv2dNativeBackpropInput
MklConvCustomBackpropFilterOp _MklNativeConv2DBackpropFilterWithBias
MklMatMulOp _MklMatMul
BatchMatMulMkl _MklBatchMatMulV2
MklSoftmaxOp _MklSoftmax
MklConcatOp _MklQuantizedConcatV2
MklRequantizationRangePerChannelOp RequantizationRangePerChannel
MklFusedBatchNormOp _MklNativeFusedBatchNormEx
MklFusedBatchNormGradOp _MklNativeFusedBatchNormGradV3
MklEinsum _MklEinsum
MklAvgPoolingOp _MklQuantizedAvgPool
MklAvgPoolingGradOp _MklNativeAvgPoolGrad
MklSliceOp _MklSlice
MklInputConversionOp _MklInputConversion
MklQuantizeV2Op _MklQuantizeV2
MklLRNOp _MklLRN
MklLRNGradOp _MklLRNGrad
MklIdentityOp _MklIdentity
DEFAULT_CONV_2D_BACKPROP_CPU_OP Conv2DBackpropInput
Conv2DCustomBackpropInputOp Conv2DBackpropInput
BatchMatMulOp MatMul
BatchMatMulV2Op BatchMatMulV3
FusedConv2DOp _FusedConv2D
MatrixTriangularSolveOp BatchMatrixTriangularSolve
MklToTfOp _MklToTf
